,name,artists,genre
340,People Are Strange,The Doors,"acid rock, classic rock, psychedelic rock, rock"
341,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Ludwig van Beethoven,"classical, classical era, early romantic era, german romanticism"
342,Eleanor Rigby - Remastered 2009,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
343,Karma Police,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
344,Let Down,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
345,No Surprises,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
346,Exploration Of Space - Cosmic Gate's Back 2 The Future Remix,Cosmic Gate,"edm, german techno, german trance, pop dance, progressive house, progressive trance, trance, uplifting trance"
347,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,"french indie pop, french rock"
348,Behind Blue Eyes,Limp Bizkit,"alternative metal, funk metal, nu metal, rap metal"
349,Ace of Spades,Motörhead,"album rock, hard rock, metal, rock, speed metal"
350,Alan's Psychedelic Breakfast,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
351,If,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
352,Eclipse,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
353,Interstellar Overdrive,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
354,Pigs on the Wing 1,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
355,Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
356,Have a Cigar,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
357,Coming Back to Life,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
358,Marooned,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
359,Prison Song,System Of A Down,"alternative metal, nu metal, rap metal"
360,Lost In Hollywood,System Of A Down,"alternative metal, nu metal, rap metal"
361,Question!,System Of A Down,"alternative metal, nu metal, rap metal"
362,Soldier Side - Intro,System Of A Down,"alternative metal, nu metal, rap metal"
363,Soldier Side,System Of A Down,"alternative metal, nu metal, rap metal"
364,Hypnotize,System Of A Down,"alternative metal, nu metal, rap metal"
365,F**k The System,System Of A Down,"alternative metal, nu metal, rap metal"
366,Seven Cities - Solarstone's Atlantis Mix,Solarstone,"progressive house, progressive trance, trance, uplifting trance"
367,Shrike,Hozier,"irish singer-songwriter, pop"
368,Take Me to Church,Hozier,"irish singer-songwriter, pop"
369,Cherry Wine - Live,Hozier,"irish singer-songwriter, pop"
370,Long Time,Blondie,"candy pop, new wave, new wave pop, permanent wave, power pop, rock"
371,Bohemian Rhapsody - Remastered 2011,Queen,"classic rock, glam rock, rock"
372,Message In A Bottle - Remastered 2003,The Police,"album rock, classic rock, mellow gold, permanent wave, rock"
373,Heaven,The Psychedelic Furs,"art rock, new romantic, new wave, new wave pop, post-punk, rock"
374,Free Ride,Nick Drake,"art rock, british folk, folk, folk rock, melancholia, rock, singer-songwriter"
375,Long Nights,Eddie Vedder,"acoustic rock, permanent wave, rock"
376,The Body Breaks,Devendra Banhart,freak folk
377,Santa Maria de Feira,Devendra Banhart,freak folk
378,Albert Balbert,Vibe Tribe,"full on, psychedelic trance"
379,Affinity - The Thrillseekers Remix,The Thrillseekers,"progressive house, progressive trance, trance, uplifting trance"
380,Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,"electro, filter house"
381,See You Next Tuesday - Danny Tenaglia's Return to Twilo Mix,Nicole Moudaber,"arab electronic, deep minimal techno, electra, minimal techno, tech house"
382,Zeitgeist,Black Sabbath,"album rock, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
383,Nothing Is Something Worth Doing,Shpongle,"downtempo, livetronica, new tribe, psychedelic trance, psychill"
384,Alquimia,Acid Mess,"spanish psychedelic rock, spanish stoner rock"
385,Legend Of A Mind,The Moody Blues,"classic rock, country rock, flute rock, folk, folk rock, progressive rock, psychedelic rock, rock, soft rock"
386,Paradisum (Mix Cut),Aly & Fila,"progressive house, progressive trance, trance, uplifting trance"
387,Wuthering Heights - Radio Edit,Simon O'Shine,"progressive uplifting trance, uplifting trance"
388,Tumhen Dillagi Bhool Jaani Padegi,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
389,Jaane Kyun,Vishal-Shekhar,"desi pop, filmi, modern bollywood"
390,Khalbali,A.R. Rahman,"filmi, modern bollywood"
391,Illogical Simmetry - 2014 Dub Mix,Javier De Baraja,
392,Zombie,The Cranberries,"irish rock, pop rock"
393,Uplifting Minds (142 Fm Progressive Psychedelic Trance Mix),Various Artists,
394,The Sound of Silence,Disturbed,"alternative metal, nu metal, rap metal"
395,The Sound of Silence,Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock"
396,Hotel California - 2013 Remaster,Eagles,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
397,Late Goodbye,Poets of the Fall,"alternative metal, finnish alternative rock"
398,Year Zero (Mix Cut) - Andy Moor's First Light Remix,Andy Moor,"progressive house, progressive trance, trance, uplifting trance"
399,Long Goodbyes,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
400,Freefall,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
401,Luka Chuppi,A.R. Rahman,"filmi, modern bollywood"
402,Tum Tak,A.R. Rahman,"filmi, modern bollywood"
403,Dil Se Re,A.R. Rahman,"filmi, modern bollywood"
404,Mitwa,Shankar-Ehsaan-Loy,"desi pop, filmi, modern bollywood"
405,Maula Mere Maula,Various Artists,
406,"Pehli Nazar Mein (From ""Race"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
407,"Jeena Jeena (From ""Badlapur"")",Sachin-Jigar,"desi pop, filmi, gujarati pop, modern bollywood"
408,"Pani Da Rang Male (From ""Vicky Donor"")",Various Artists,
409,Walk,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
410,Learn to Fly,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
411,The Pretender,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
412,Nights In White Satin - Single Version / Mono,The Moody Blues,"album rock, art rock, blues rock, british invasion, classic rock, folk rock, hard rock, progressive rock, psychedelic rock"
413,Brain Damage,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
414,One of These Days,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
415,My Generation - Mono Version,The Who,"album rock, art rock, blues rock, british invasion, classic rock, hard rock, mellow gold, psychedelic rock, rock"
416,Baba O'Riley,The Who,"album rock, art rock, blues rock, british invasion, classic rock, hard rock, mellow gold, psychedelic rock, rock"
417,Kashmir - 1990 Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
418,Us and Them,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
419,The Great Gig in the Sky,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
420,Breathe (In the Air),Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
421,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
422,Pigs (Three Different Ones),Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
423,"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,"british invasion, classic rock, rock"
424,Voodoo Child (Slight Return),Jimi Hendrix,"acid rock, album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
425,Purple Haze,Jimi Hendrix,"acid rock, album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
426,All Along the Watchtower,Jimi Hendrix,"acid rock, album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
427,Closer To The Heart,Rush,"album rock, art rock, canadian metal, classic canadian rock, classic rock, hard rock, metal, progressive rock, rock"
428,Fool in the Rain - Rough Mix,Led Zeppelin,"album rock, classic rock, hard rock, rock"
429,Kyon,Pritam,"filmi, indian instrumental, modern bollywood"
430,Piya Basanti (In The Lounge) - Remix by DJ Rishabh,Sultan Khan,"hindustani classical, hindustani instrumental, indian classical"
431,"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",Various Artists,
432,Save My Night,Armin van Buuren,"dutch trance, edm, pop dance, progressive house, trance"
433,Titanium (feat. Sia),David Guetta,"big room, dance pop, edm, pop, pop dance"
434,All Apologies,Nirvana,"grunge, permanent wave, rock"
435,The Man Who Sold The World,Nirvana,"grunge, permanent wave, rock"
436,Smells Like Teen Spirit,Nirvana,"grunge, permanent wave, rock"
437,Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,"hard rock, metal, nwobhm, rock"
438,The Trooper - 1998 Remastered Version,Iron Maiden,"hard rock, metal, nwobhm, rock"
439,Fear Of The Dark - 1998 Remastered Version,Iron Maiden,"hard rock, metal, nwobhm, rock"
440,Master of Puppets (Remastered),Metallica,"hard rock, metal, old school thrash, rock, thrash metal"
441,One (Remastered),Metallica,"hard rock, metal, old school thrash, rock, thrash metal"
442,Paranoid Android,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
443,Tajdar-E-Haram Coke Studio Season 8,Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
444,Every Teardrop Is a Waterfall,Coldplay,"permanent wave, pop"
445,Yellow,Coldplay,"permanent wave, pop"
446,Fix You,Coldplay,"permanent wave, pop"
447,The Scientist,Coldplay,"permanent wave, pop"
448,Viva La Vida,Coldplay,"permanent wave, pop"
449,Hey Jude - Remastered 2015,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
450,Let It Be - Remastered 2009,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
451,Here Comes The Sun - Remastered 2009,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
452,"Hona Tha Pyar (From ""Bol"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
453,Roobaroo,A.R. Rahman,"filmi, modern bollywood"
454,Tandanu (feat. Shankar Mahadevan),Indian Ocean,"filmi, indian folk, indian fusion, indian indie, indian rock, pakistani pop"
455,Ma Rewa,Indian Ocean,"filmi, indian folk, indian fusion, indian indie, indian rock, pakistani pop"
456,Kandisa,Indian Ocean,"filmi, indian folk, indian fusion, indian indie, indian rock, pakistani pop"
457,Bandeh,Indian Ocean,"filmi, indian folk, indian fusion, indian indie, indian rock, pakistani pop"
458,B.Y.O.B.,System Of A Down,"alternative metal, nu metal, rap metal"
459,Lonely Day,System Of A Down,"alternative metal, nu metal, rap metal"
460,Aerials,System Of A Down,"alternative metal, nu metal, rap metal"
461,Toxicity,System Of A Down,"alternative metal, nu metal, rap metal"
462,Chop Suey!,System Of A Down,"alternative metal, nu metal, rap metal"
463,Melancholy Man,The Moody Blues,"album rock, art rock, blues rock, british invasion, classic rock, folk rock, hard rock, progressive rock, psychedelic rock"
464,Stairway to Heaven - Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
465,Never Seen Such Good Things,Devendra Banhart,freak folk
466,Mi Negrita,Devendra Banhart,freak folk
467,Baby,Devendra Banhart,freak folk
468,The Ballad of Keenan Milton,Devendra Banhart,freak folk
469,Private Investigations,Dire Straits,"album rock, classic rock, mellow gold, rock, soft rock"
470,Om,The Moody Blues,"album rock, art rock, blues rock, british invasion, classic rock, folk rock, hard rock, progressive rock, psychedelic rock"
471,Whole Lotta Love - 1990 Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
472,Crying Song - 2011 Remaster,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
473,Any Colour You Like - 2011 Remastered Version,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
474,Stationary Traveller,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
475,Spirit Of The Water,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
476,Back to Bach,Talamasca,"full on, psychedelic trance"
477,Nightlife In Tokyo - Original Mix,Advanced,
478,Liberty Island - Kaimo K Remix,Overseas,
479,Full On Acid - Marian Closca Remix,Ikerya Project,tech trance
480,Ocean,John Butler Trio,"australian rock, banjo"
481,C-Sharp,Armin van Buuren,"dutch trance, edm, pop dance, progressive house, trance"
482,Lovers - Pure Mix,Solarstone,"progressive house, progressive trance, trance, uplifting trance"
483,Finder - Carl Cox Remix Edit,Ninetoes,
484,Pistolero - Astrix Remix,Juno Reactor,"big beat, psychedelic trance"
485,High And Dry,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
486,Words,Bee Gees,"disco, mellow gold, soft rock"
487,Afterglow,INXS,"australian rock, classic rock, dance rock, funk rock, mellow gold, new romantic, new wave, new wave pop, pop rock, rock, soft rock"
488,Mere Rashke Qamar (Full Ghazzal),Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
489,With Or Without You - Remastered,U2,"irish rock, permanent wave, rock"
490,Hey There Delilah,Plain White T's,"neo mellow, pop punk, pop rock"
491,Hey You,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
492,Creep,Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
493,Roulette,System Of A Down,"alternative metal, nu metal, rap metal"
494,Time In A Bottle,Jim Croce,"album rock, classic rock, country rock, folk, folk rock, mellow gold, rock, roots rock, singer-songwriter, soft rock"
495,Never Let Go,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
496,Echoes,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
497,Octavarium,Dream Theater,"neo classical metal, progressive metal"
498,Atom Heart Mother,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
499,The End,The Doors,"acid rock, classic rock, psychedelic rock, rock"
500,Other Side of the Sky - 2015 Remaster,Gong,"art rock, canterbury scene, experimental, jazz fusion, progressive rock, psychedelic rock, rock progressif francais, space rock, symphonic rock, zolo"
501,No Quarter - Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
502,"Side 1, Pt. 1: Things Left Unsaid",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
503,"Side 1, Pt. 2: It's What We Do",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
504,"Side 1, Pt. 3: Ebb And Flow",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
505,"Side 2, Pt. 1: Sum",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
506,"Side 2, Pt. 2: Skins",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
507,"Side 2, Pt. 3: Unsung",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
508,"Side 2, Pt. 4: Anisina",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
509,"Side 3, Pt. 1: The Lost Art of Conversation",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
510,"Side 3, Pt. 2: On Noodle Street",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
511,"Side 3, Pt. 3: Night Light",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
512,"Side 3, Pt. 4: Allons-y (1)",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
513,"Side 3, Pt. 5: Autumn '68",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
514,"Side 3, Pt. 7: Talkin' Hawkin'",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
515,"Side 4, Pt. 1: Calling",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
516,"Side 4, Pt. 2: Eyes To Pearls",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
517,"Side 4, Pt. 3: Surfacing",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
518,"Side 4, Pt. 4: Louder Than Words",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
519,TBS9,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
520,TBS14,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
521,Nervana,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
522,Time,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
523,Money,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
524,Comfortably Numb,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
525,Wish You Were Here,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
526,"Another Brick in the Wall, Pt. 2",Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
527,Paradise City,Guns N' Roses,"glam metal, hard rock, rock"
528,November Rain,Guns N' Roses,"glam metal, hard rock, rock"
529,Sweet Child O' Mine,Guns N' Roses,"glam metal, hard rock, rock"
530,Main Nashe Mein Hoon,Jagjit Singh,"classic bollywood, desi pop, filmi, ghazal, hare krishna, sufi"
531,Chaudhary,Various Artists,
532,"Tere Bin (From ""Bas Ek Pal"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
533,Sochta Hoon Ke Woh Kitne Masoom Thay,Khan songs,
534,Goodbye To Romance - 2002 Version,Ozzy Osbourne,"album rock, birmingham metal, hard rock, metal, rock"
535,"Kuch Is Tarah (From ""Doorie"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
536,"Main Rang Sharbaton Ka (From ""Phata Poster Nikhla Hero"")",Pritam,"filmi, indian instrumental, modern bollywood"
537,Mahi Ve,Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
538,Yakeen,Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
539,"Chod Gaye, Pt. 1 (From ""Meri Kahani"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
540,See You Next Tuesday - Danny Tenaglia's Return to Twilo Mix,Nicole Moudaber,"arab electronic, deep minimal techno, electra, minimal techno, tech house"
541,Long Goodbyes,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
542,"Pehli Nazar Mein (From ""Race"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
543,"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",Various Artists,
544,"Hona Tha Pyar (From ""Bol"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
545,Stationary Traveller,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
546,Pistolero - Astrix Remix,Juno Reactor,"big beat, psychedelic trance"
547,Never Let Go,Camel,"album rock, art rock, canterbury scene, flute rock, jazz fusion, progressive rock, symphonic rock"
